,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2023,MI,FT,Data Analyst,165000,USD,165000,AU,0,AU,M
1,2023,MI,FT,Data Analyst,70000,USD,70000,US,100,US,M
2,2024,MI,FT,Machine Learning Engineer,85000,EUR,94444,IE,100,IE,M
3,2024,SE,FT,Data Scientist,92700,USD,92700,US,0,US,M
4,2023,MI,FT,Research Engineer,150000,USD,150000,US,0,US,M
5,2024,MI,FT,Research Engineer,26000,EUR,28888,PT,0,PT,M
6,2023,EX,FT,Machine Learning Engineer,145000,USD,145000,US,100,US,M
7,2022,SE,FT,Data Scientist,130000,USD,130000,US,100,US,M
8,2023,SE,FT,Data Scientist,159832,USD,159832,US,0,US,M
9,2024,SE,FT,Data Engineer,160000,USD,160000,US,0,US,M
10,2023,SE,FT,Machine Learning Engineer,198200,USD,198200,US,100,US,M
11,2023,SE,FT,Data Analyst,85000,USD,85000,US,0,US,M
12,2023,SE,FT,Machine Learning Engineer,161000,GBP,198094,GB,0,GB,M
13,2023,EN,FT,Data Engineer,65000,USD,65000,US,0,US,M
14,2023,SE,FT,Data Scientist,160000,USD,160000,US,0,US,M
15,2023,SE,FT,Data Scientist,202600,USD,202600,US,100,US,M
16,2024,MI,FT,Data Engineer,140000,USD,140000,US,0,US,M
17,2023,SE,FT,Machine Learning Infrastructure Engineer,220000,USD,220000,US,100,US,M
18,2023,MI,FT,Data Scientist,144000,USD,144000,US,100,US,M
19,2022,SE,FT,Data Engineer,110500,USD,110500,US,100,US,M
20,2023,SE,FT,Analytics Engineer,147500,USD,147500,US,0,US,M
21,2022,EN,FT,AI Research Engineer,30000,GBP,36940,GB,100,GB,L
22,2024,MI,FT,Machine Learning Engineer,174000,USD,174000,US,100,US,M
23,2024,MI,FT,Data Scientist,70000,USD,70000,US,0,US,M
24,2023,SE,FT,Data Scientist,225000,USD,225000,US,0,US,M
25,2023,SE,FT,Research Scientist,147100,USD,147100,US,0,US,M
26,2023,SE,FT,Analytics Engineer,275300,USD,275300,US,100,US,M
27,2023,SE,FT,BI Analyst,110000,USD,110000,US,0,US,M
28,2024,SE,FT,Data Engineer,123700,USD,123700,US,0,US,L
29,2023,MI,FT,Data Analyst,55000,EUR,59382,DE,50,DE,L
30,2023,SE,FT,Data Scientist,158677,USD,158677,US,100,US,M
31,2021,EN,FT,Data Scientist,2100000,INR,28399,IN,100,IN,M
32,2023,SE,FT,ML Engineer,151600,USD,151600,US,0,US,M
33,2024,EN,FT,Business Intelligence Analyst,53000,USD,53000,US,0,US,M
34,2023,SE,FT,AI Engineer,170200,USD,170200,US,0,US,M
35,2022,SE,FT,Data Analyst,35000,EUR,36773,ES,0,ES,M
36,2023,MI,FT,Research Scientist,212800,USD,212800,US,0,US,L
37,2023,SE,FT,Data Analyst,136000,USD,136000,US,100,US,M
38,2023,SE,FT,Data Engineer,116455,USD,116455,US,0,US,M
39,2024,SE,FT,Data Scientist,199700,USD,199700,US,0,US,M
40,2023,MI,FT,Data Analyst,105000,USD,105000,US,0,US,M
41,2023,MI,FT,Data Engineer,140000,USD,140000,US,100,US,M
42,2024,EN,FT,Research Analyst,300000,USD,300000,US,0,US,M
43,2021,MI,FT,Data Engineer,38400,EUR,45391,NL,100,NL,L
44,2023,SE,FT,Data Scientist,156400,USD,156400,US,100,US,M
45,2023,MI,FT,Machine Learning Engineer,300000,USD,300000,US,0,US,M
46,2023,MI,FT,Data Scientist,220000,USD,220000,US,0,US,M
47,2024,MI,FT,Data Engineer,113000,USD,113000,US,0,US,M
48,2024,SE,FT,Data Analyst,165000,USD,165000,US,100,US,M
49,2023,SE,FT,Data Scientist,143100,USD,143100,CA,0,CA,M
50,2023,SE,FT,Data Engineer,120000,USD,120000,US,0,US,M
51,2024,MI,FT,Data Scientist,160000,USD,160000,US,0,US,M
52,2024,MI,FT,Data Engineer,97000,USD,97000,US,0,US,M
53,2022,SE,FT,Data Scientist,204100,USD,204100,US,0,US,M
54,2022,SE,FT,Data Analyst,110600,USD,110600,US,0,US,M
55,2023,SE,FT,Data Analyst,120000,USD,120000,US,100,US,M
56,2020,EX,FT,Staff Data Analyst,15000,USD,15000,NG,0,CA,M
57,2023,SE,FT,Data Infrastructure Engineer,185000,USD,185000,US,0,US,M
58,2024,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M
59,2024,SE,FT,Machine Learning Engineer,229900,USD,229900,US,0,US,M
60,2024,SE,FT,Data Operations Specialist,206500,USD,206500,US,0,US,M
61,2022,SE,FT,Data Analyst,81666,USD,81666,US,100,US,M
62,2023,SE,FT,Machine Learning Scientist,145000,USD,145000,US,100,US,M
63,2022,SE,FT,Data Scientist,191475,USD,191475,US,100,US,M
64,2023,SE,FT,Data Scientist,45000,EUR,48585,ES,0,ES,M
65,2023,SE,FT,Research Engineer,190400,USD,190400,US,0,US,M
66,2023,SE,FT,Data Analyst,79000,USD,79000,US,0,US,M
67,2023,SE,FT,Research Engineer,203000,USD,203000,US,0,US,M
68,2023,SE,FT,Research Analyst,83000,USD,83000,US,100,US,M
69,2022,SE,FT,Data Scientist,134000,USD,134000,US,100,US,M
70,2024,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L
71,2023,MI,FT,Data Engineer,72000,USD,72000,US,0,US,M
72,2023,SE,FT,Data Scientist,176000,USD,176000,US,0,US,M
73,2024,SE,FT,Data Scientist,115800,USD,115800,US,0,US,M
74,2023,SE,FT,Machine Learning Engineer,140100,USD,140100,US,0,US,M
75,2024,SE,FT,Data Analyst,133650,USD,133650,US,100,US,M
76,2024,SE,FT,Data Engineer,94500,USD,94500,US,0,US,M
77,2024,SE,FT,Research Engineer,176700,USD,176700,US,100,US,M
78,2023,EN,FT,BI Developer,85600,USD,85600,US,0,US,M
79,2023,SE,FT,AI Engineer,176000,USD,176000,US,0,US,M
80,2023,SE,FT,Data Analyst,119610,USD,119610,US,0,US,M
81,2023,SE,FT,Machine Learning Engineer,264400,USD,264400,US,100,US,M
82,2022,SE,FT,Data Engineer,260000,USD,260000,US,0,US,M
83,2023,SE,FT,Data Engineer,126000,USD,126000,US,0,US,M
84,2024,EN,FT,Data Analyst,83300,USD,83300,US,0,US,M
85,2023,SE,FL,Machine Learning Researcher,50000,USD,50000,UA,50,UA,S
86,2023,SE,FT,Research Scientist,150000,USD,150000,US,100,US,M
87,2024,SE,FT,Data Science,130300,USD,130300,US,0,US,M
88,2023,SE,FT,Data Science Manager,297300,USD,297300,US,100,US,M
89,2023,MI,FT,Data Specialist,90000,USD,90000,US,100,US,M
90,2023,MI,FT,Data Engineer,240000,USD,240000,US,0,US,M
91,2023,SE,FT,Data Engineer,73100,USD,73100,US,0,US,M
92,2024,SE,FT,Machine Learning Engineer,245000,USD,245000,US,100,US,M
93,2023,MI,FT,Machine Learning Engineer,55000,GBP,67672,GB,100,GB,M
94,2023,SE,FT,Data Engineer,202000,USD,202000,US,100,US,M
95,2023,SE,FT,NLP Engineer,66200,EUR,71475,IT,100,IT,M
96,2024,MI,FT,Machine Learning Engineer,100000,USD,100000,US,100,US,L
97,2023,SE,FT,Machine Learning Engineer,207700,USD,207700,CA,0,CA,M
98,2024,SE,FT,Machine Learning Engineer,146900,USD,146900,US,0,US,M
99,2023,MI,FT,Applied Scientist,136000,USD,136000,US,0,US,L
100,2024,SE,FT,Data Engineer,190000,USD,190000,US,0,US,M
101,2024,MI,FT,Data Analyst,88000,USD,88000,US,100,US,M
102,2023,SE,FT,Data Analyst,85000,USD,85000,US,100,US,M
103,2022,SE,FT,Data Engineer,170000,USD,170000,US,0,US,M
104,2023,SE,FT,AI Engineer,160000,USD,160000,US,0,US,M
105,2023,SE,FT,Business Intelligence Engineer,60000,GBP,73824,GB,0,GB,M
106,2023,SE,FT,Machine Learning Engineer,152300,USD,152300,US,0,US,M
107,2023,MI,FT,Data Engineer,64300,USD,64300,US,0,US,M
108,2021,SE,FT,Research Scientist,51400,EUR,60757,PT,50,PT,L
109,2024,MI,FT,Data Engineer,107800,USD,107800,US,0,US,M
110,2024,MI,FT,Data Scientist,97060,USD,97060,US,100,US,M
111,2023,SE,FT,Machine Learning Engineer,172200,USD,172200,US,0,US,M
112,2024,SE,FT,Data Architect,242100,USD,242100,US,0,US,M
113,2024,MI,FT,Data Science Practitioner,93900,USD,93900,US,0,US,M
114,2023,MI,FT,Data Scientist,183310,USD,183310,US,0,US,M
115,2022,SE,FT,Data Analyst,115934,USD,115934,US,100,US,M
116,2024,SE,FT,Data Engineer,144000,USD,144000,US,0,US,M
117,2024,SE,FT,Machine Learning Engineer,219100,USD,219100,US,100,US,M
118,2022,SE,FT,Data Architect,192564,USD,192564,US,100,US,M
119,2023,SE,FT,Data Architect,105200,USD,105200,US,0,US,M
120,2023,SE,FT,Data Scientist,155500,USD,155500,US,0,US,M
121,2023,SE,FT,Data Scientist,143060,USD,143060,US,0,US,M
122,2024,MI,FT,Data Engineer,130000,USD,130000,US,0,US,M
123,2023,MI,FT,Machine Learning Engineer,84000,USD,84000,VN,100,VN,M
124,2022,SE,FT,Data Engineer,141300,USD,141300,US,0,US,M
125,2023,SE,FT,Machine Learning Engineer,185000,USD,185000,US,0,US,M
126,2024,EX,FT,Data Analyst,120000,USD,120000,US,0,US,M
127,2023,SE,FT,Machine Learning Engineer,260000,USD,260000,US,0,US,M
128,2023,MI,FT,Data Engineer,175000,USD,175000,US,0,US,M
129,2024,SE,FT,Research Scientist,333500,USD,333500,US,0,US,M
130,2023,SE,FT,Data Engineer,152000,USD,152000,US,0,US,M
131,2024,SE,FT,Computer Vision Engineer,220000,USD,220000,US,100,US,M
132,2023,SE,FT,Data Analyst,110600,USD,110600,US,0,US,M
133,2023,EX,FT,Data Engineer,225000,USD,225000,US,0,US,M
134,2024,EX,FT,Data Architect,180000,USD,180000,US,100,US,M
135,2023,SE,FT,Data Science Lead,84700,USD,84700,US,0,US,M
137,2022,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M
138,2023,MI,FT,Data Engineer,128000,USD,128000,US,0,US,M
139,2023,EN,FT,Research Scientist,195200,USD,195200,US,0,US,L
140,2024,SE,FT,Data Engineer,45000,GBP,56250,GB,100,GB,M
141,2023,EX,FT,Data Engineer,239000,USD,239000,US,100,US,M
142,2023,SE,FT,Data Engineer,90300,USD,90300,US,0,US,M
143,2023,MI,FT,Data Analyst,52500,USD,52500,US,100,US,M
144,2022,SE,FT,Data Engineer,247500,USD,247500,US,0,US,M
146,2023,MI,FT,Insight Analyst,35000,GBP,43064,GB,0,GB,M
147,2024,EX,FT,Data Science,300000,USD,300000,US,100,US,M
148,2023,SE,FT,Research Analyst,49500,EUR,53444,ES,100,ES,M
149,2024,EN,FT,Data Analyst,100000,USD,100000,US,0,US,M
150,2024,SE,FT,Data Engineer,162000,USD,162000,US,0,US,M
151,2023,MI,FT,Research Engineer,200000,USD,200000,US,0,US,M
152,2024,MI,FT,Data Scientist,68975,USD,68975,CA,0,CA,M
153,2024,SE,FT,Data Analyst,109000,USD,109000,US,0,US,M
154,2023,SE,FT,Data Scientist,184700,USD,184700,US,0,US,M
155,2024,EN,FT,Data Science,60800,USD,60800,US,0,US,M
156,2023,SE,FT,Research Scientist,253750,USD,253750,ES,0,ES,M
157,2023,SE,FT,Data Manager,145000,USD,145000,US,0,US,M
158,2023,SE,FT,Data Scientist,204500,USD,204500,US,0,US,M
159,2023,SE,FT,Data Engineer,140000,USD,140000,US,0,US,M
160,2023,SE,FT,Machine Learning Engineer,170000,USD,170000,US,0,US,M
161,2024,SE,FT,Data Scientist,126600,USD,126600,US,0,US,M
162,2023,SE,FT,Data Engineer,190000,USD,190000,US,100,US,M
163,2023,SE,FT,Data Scientist,150200,USD,150200,US,0,US,M
164,2023,SE,FT,Data Analyst,135000,USD,135000,US,0,US,M
165,2023,SE,FT,Business Intelligence Engineer,225000,USD,225000,US,0,US,M
166,2023,SE,FT,Data Science Manager,150000,USD,150000,MX,100,MX,M
